id,title,description,acceptance_criteria,story_points,priority,type,status,suggested_sprint,labels
US-01,"Affichage liste produits","En tant que visiteur, je veux voir la liste des produits disponibles.","Route /products; pagination; filtre par catégorie; responsive",3,High,Story,Backlog,"Sprint 1","product,ui"
US-02,"Page détail produit","En tant que visiteur, je veux voir les détails d'un produit (description, stock).","Route /products/{id}; bouton 'Ajouter au panier'; affichage du stock",2,High,Story,Backlog,"Sprint 1","product,ui"
US-03,"Recherche et filtrage","En tant qu'utilisateur, je veux rechercher un produit par nom et filtrer par catégorie/prix.","Champ recherche; résultats paginés; filtres opérationnels",3,Medium,Story,Backlog,"Sprint 1","product,search"
US-04,"Gestion panier","En tant qu'utilisateur, je veux ajouter/supprimer/modifier quantité dans le panier.","Persistance (session/DB); calcul total; UI notifications",5,High,Story,Backlog,"Sprint 1","cart"
US-05,"Checkout / Création commande","En tant qu'utilisateur, je veux finaliser ma commande et recevoir une confirmation par e-mail.","Formulaire adresse; création Order + OrderItem; email de confirmation; tests e2e",8,High,Story,Backlog,"Sprint 2","checkout,order"
US-06,"Gestion commandes côté admin","En tant qu'admin, je veux lister et modifier le statut des commandes.","Page admin/orders; actions protégées par CSRF; logs des changements",5,High,Story,Backlog,"Sprint 2","admin,orders"
US-07,"Authentification & rôles","En tant que visiteur, je veux m'inscrire et me connecter, avec rôles (ROLE_ADMIN).","Registration/login; mot de passe haché; accès restreint selon rôle",5,High,Story,Backlog,"Sprint 1","security,auth"
US-08,"Login via Google/Facebook (OAuth)","En tant qu'utilisateur, je veux me connecter via Google/Facebook.","Boutons OAuth; mapping d'un compte existant; tests de flux",5,Medium,Story,Backlog,"Sprint 2","auth,oauth"
US-09,"Gestion profil utilisateur","En tant qu'utilisateur, je veux modifier mon profil (nom, email, avatar).","Upload avatar (taille max); validations; tests unitaires",3,Medium,Story,Backlog,"Sprint 1","profile,ui"
US-10,"Dashboard statistiques (admin)","En tant qu'admin, je veux voir chiffre d'affaires, top produits et commandes récentes.","Widgets revenue/top products; endpoint sécurisé; données cohérentes",5,Medium,Story,Backlog,"Sprint 2","admin,stats"
US-11,"Tests automatiques & CI","En tant que dev, je veux que les tests fonctionnent en CI.","Pipeline CI (GH Actions ou équivalent); tests green; badge build",5,High,Story,Backlog,"Sprint 2","ci,test"
US-12,"Sécurité / hardening","En tant que PO, je veux que l'app protège contre CSRF/XSS et utilise headers sécurisés.","Tests XSS/CSRF; configuration headers; démonstration via test_xss/test_csrf",3,High,Story,Backlog,"Sprint 1","security"
US-13,"Déploiement & documentation","En tant que devops, je veux des scripts et doc pour déployer en staging/production.","docker-compose.yml vérifié; DEPLOYMENT.md; vérifs post-deploy",3,Medium,Story,Backlog,"Sprint 1","devops,deploy"
